opportunity_id,account_id,stage,expected_close_date,amount_expected,source,created_at,closed_at
77,51,ClosedLost,2024-05-06,29088.389468443427,Webinar,2024-02-06,2024-04-20
1,1,SQL,2024-12-17,17285.932128927878,Outbound,2024-09-18,
27,19,POC,2025-03-26,19456.157952124762,Outbound,2024-12-26,
23,17,ClosedWon,2025-06-02,10044.225699191396,Webinar,2025-03-04,2025-05-15
13,8,MQL,2025-08-24,33031.495580991934,Bid,2025-05-26,
68,45,ClosedWon,2024-08-25,29024.15085879442,Outbound,2024-05-27,2024-07-31
11,7,Negotiation,2024-08-31,17621.413098418918,Bid,2024-06-02,
19,14,ClosedWon,2025-07-08,18566.18699640196,Webinar,2025-04-09,2025-07-21
5,2,ClosedWon,2025-05-27,24899.88728440052,Outbound,2025-02-26,2025-04-16
69,46,POC,2025-07-08,31689.430933762633,Webinar,2025-04-09,
85,57,ClosedWon,2025-04-13,20353.699024833586,Outbound,2025-01-13,2025-02-01
66,41,MQL,2025-03-28,11719.375087674873,Inbound,2024-12-28,
54,36,Negotiation,2025-06-01,26278.75229286508,Webinar,2025-03-03,
81,54,Negotiation,2024-09-27,30873.764802364894,Webinar,2024-06-29,
84,56,MQL,2025-06-25,34380.48933315712,Webinar,2025-03-27,
65,41,SQL,2025-03-08,18227.711074153594,Inbound,2024-12-08,
34,25,Negotiation,2025-11-04,26500.810302029156,Outbound,2025-08-06,
80,52,SQL,2024-07-08,20668.968619284457,Webinar,2024-04-09,
56,37,ClosedWon,2025-08-29,23361.5087897995,Outbound,2025-05-31,2025-06-05
74,50,ClosedWon,2025-07-15,20792.27856805761,Outbound,2025-04-16,2025-06-27
12,8,SQL,2025-05-16,22757.16180988842,Outbound,2025-02-15,
31,24,SQL,2024-09-22,21883.58694647944,Webinar,2024-06-24,
41,29,POC,2025-03-12,15042.672526971091,Webinar,2024-12-12,
29,21,Negotiation,2024-06-28,22907.634702712585,Webinar,2024-03-30,
10,6,ClosedLost,2025-02-05,23479.07417170918,Outbound,2024-11-07,2025-03-02
67,45,SQL,2025-06-19,25485.992282197294,Webinar,2025-03-21,
6,5,MQL,2024-07-20,23631.724634469567,Outbound,2024-04-21,
40,27,MQL,2024-08-13,31609.430792168514,Inbound,2024-05-15,
32,24,ClosedLost,2025-03-28,21992.288978455537,Bid,2024-12-28,2025-04-23
36,26,POC,2024-11-10,14907.077735182114,Outbound,2024-08-12,
46,30,Negotiation,2024-10-26,25593.5738535591,Webinar,2024-07-28,
45,30,ClosedWon,2025-06-19,24636.48913981182,Inbound,2025-03-21,2025-07-03
17,10,ClosedWon,2025-08-14,7473.927422555886,Inbound,2025-05-16,2025-09-06
43,29,ClosedWon,2025-07-01,32887.495960095155,Bid,2025-04-02,2025-05-04
35,26,ClosedLost,2025-02-27,15379.688901154796,Outbound,2024-11-29,2024-12-31
8,5,ClosedWon,2025-11-20,30910.897838511275,Bid,2025-08-22,2025-11-16
50,34,SQL,2025-10-11,22555.202110329832,Outbound,2025-07-13,
62,40,SQL,2025-06-08,12290.892445049567,Bid,2025-03-10,
20,15,Negotiation,2024-10-29,11931.711664455139,Inbound,2024-07-31,
73,50,POC,2025-09-24,29501.80074609549,Inbound,2025-06-26,
26,18,MQL,2025-05-26,14776.670842682302,Webinar,2025-02-25,
48,31,ClosedLost,2024-12-24,6154.627155942255,Webinar,2024-09-25,2025-01-06
14,9,ClosedWon,2025-01-04,18469.248106439518,Bid,2024-10-06,2025-01-11
25,17,POC,2024-04-19,13875.717780562296,Inbound,2024-01-20,
4,2,POC,2024-07-15,13764.140826196643,Inbound,2024-04-16,
18,12,POC,2025-08-06,845.9175607962279,Inbound,2025-05-08,
39,27,ClosedWon,2024-11-06,9738.922797915826,Outbound,2024-08-08,2024-11-09
9,6,POC,2025-08-30,3716.23070273321,Inbound,2025-06-01,
70,46,ClosedLost,2024-09-16,10878.712646990156,Outbound,2024-06-18,2024-07-31
7,5,SQL,2025-02-14,5348.751326279011,Bid,2024-11-16,
57,38,Negotiation,2024-08-18,25000.68160998523,Outbound,2024-05-20,
37,26,ClosedWon,2024-06-01,6515.221460921533,Inbound,2024-03-03,2024-04-04
79,52,SQL,2025-07-24,25095.25026697768,Outbound,2025-04-25,
87,58,SQL,2024-12-13,5706.339909055376,Webinar,2024-09-14,
55,37,SQL,2025-11-14,26686.463170514697,Inbound,2025-08-16,
44,30,POC,2024-06-14,17516.12819043245,Inbound,2024-03-16,
51,35,SQL,2024-05-09,17409.666365707195,Bid,2024-02-09,
47,31,SQL,2024-11-17,18863.97428473983,Inbound,2024-08-19,
86,57,POC,2025-01-16,14031.213946779892,Outbound,2024-10-18,
16,9,SQL,2024-09-09,17105.83618044663,Outbound,2024-06-11,
71,47,MQL,2024-07-07,24389.910550913013,Outbound,2024-04-08,
28,20,POC,2025-08-20,8361.420117937687,Bid,2025-05-22,
42,29,SQL,2025-11-11,30901.141118426727,Bid,2025-08-13,
63,40,POC,2025-03-05,18039.514790474383,Outbound,2024-12-05,
59,39,MQL,2025-06-24,26326.413769431914,Outbound,2025-03-26,
49,31,ClosedWon,2025-10-24,34782.600103648365,Outbound,2025-07-26,2025-09-14
78,52,Negotiation,2025-09-02,23540.364993632422,Outbound,2025-06-04,
58,39,Negotiation,2024-04-21,15993.240244512439,Bid,2024-01-22,
33,25,SQL,2024-05-05,6785.9268145658625,Outbound,2024-02-05,
